metric,n_exp1,n_exp2,exp1_effect_mean,exp1_effect_sem,exp2_effect_mean,exp2_effect_sem,exp1_hum_mean,exp1_bot_mean,exp2_hum_mean,exp2_bot_mean,exp1_within_t,exp1_within_p,exp2_within_t,exp2_within_p,interaction_t,interaction_p,interaction_df,exp1_direction,exp2_direction,pattern
um_rate,23,50,9.327198985192702e-05,0.0004717264001931081,0.0,0.0,0.0013750436786734003,0.0012817716888214733,0.0,0.0,0.19772476124665647,0.8450759496156601,,,0.29396963005904797,0.7696387906239274,71,ns,ns,Both ns
uh_rate,23,50,3.5691419418317894e-05,8.167399010505104e-05,0.0,0.0,0.00017480972655435786,0.00013911830713603997,0.0,0.0,0.4369986010529269,0.6663717554712691,,,0.649712844652747,0.517974290290055,71,ns,ns,Both ns
er_rate,23,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,71,ns,ns,Both ns
ah_rate,23,50,8.814983643358929e-05,8.274502845235929e-05,0.0,0.0,8.814983643358929e-05,0.0,0.0,0.0,1.0653188243731386,0.2982845147095883,,,1.583875376666852,0.1176665594253076,71,ns,ns,Both ns
well_rate,23,50,0.0002474815566483442,0.0002917886214859306,-0.00024232615092536442,0.00017678884649117041,0.0014664363342482007,0.0012189547775998564,0.002924182586139924,0.0031665087370652883,0.8481535550908288,0.4054862886826508,-1.3707094974312604,0.1767120184030961,1.4975397588547394,0.13868564158061567,71,ns,ns,Both ns
so_rate,23,50,-0.00024088001562811657,0.000807747594321634,0.0008071227823941548,0.00014225682928935133,0.009177788670379354,0.00941866868600747,0.002504109001131454,0.0016969862187372995,-0.2982119876573739,0.7683396585305887,5.673701476591059,7.417273635165303e-07,-1.7986446720699307,0.07632516062500595,71,ns,Human > AI,Different
you_know_rate,23,50,-0.0003359974435111684,0.00025216592189605857,5.282955666504982e-05,3.186595398647837e-05,0.0016508011430122198,0.0019867985865233877,9.352343232770771e-05,4.069387566265788e-05,-1.3324458792241751,0.196351614437903,1.6578683533989569,0.10373343425799825,-2.2087109946780275,0.030423795375992473,71,ns,ns,Both ns
i_mean_rate,23,50,-0.0001496206980511335,0.00021592144093249434,0.0,0.0,0.0010249106662462036,0.001174531364297337,0.0,0.0,-0.69294043891598,0.49559762519214356,,,-1.030237402724539,0.3063954239102536,71,ns,ns,Both ns
like_rate,23,50,0.0033736204061304547,0.0013106125346630825,0.0007993268493763478,0.00019466254116258733,0.020573547072766527,0.017199926666636067,0.004428665885167942,0.0036293390357915946,2.5740791552842177,0.017309765556953294,4.106218097239,0.00015201042403576755,2.775796770911659,0.007034817367460666,71,Human > AI,Human > AI,Similar
basically_rate,23,50,-3.7103714542434357e-05,0.00010070524063758393,0.0,0.0,0.00036242664403467607,0.0003995303585771104,0.0,0.0,-0.368438765525247,0.7160677112593408,,,-0.5477806973591715,0.5855605355936475,71,ns,ns,Both ns
actually_rate,23,50,0.0004488182737635238,0.00028614478357031037,9.203870552861242e-05,3.845164762127962e-05,0.0014873302798728907,0.0010385120061093673,0.00019194809068148286,9.990938515287042e-05,1.5685006316155403,0.13103645988186471,2.393621891970035,0.020556769996361402,1.7776831567676759,0.07973811791765897,71,ns,Human > AI,Different
right_rate,23,50,0.0001980989876711363,0.00014293762752015207,0.00019332787155716978,5.183115441154932e-05,0.0006883514212619071,0.0004902524335907706,0.0004422546991111579,0.0002489268275539881,1.3859121010190778,0.17966268343016134,3.7299549614911007,0.0004976006528901212,0.03879147062668496,0.9691655143058188,71,ns,Human > AI,Different
okay_rate,23,50,0.0007625151814341196,0.001577631977503301,1.0060298796615636e-05,8.776875256123516e-06,0.0029442633835153782,0.0021817482020812587,1.578610524822854e-05,5.725806451612903e-06,0.4833289336850578,0.6336376770953744,1.1462278433998125,0.2572677532289806,0.709061052618737,0.48060848355075425,71,ns,ns,Both ns
filled_pauses_rate,23,50,0.00021711324570383437,0.00048392468156490645,0.0,0.0,0.0016380032416613475,0.0014208899959575133,0.0,0.0,0.4486509036938098,0.6580713967721692,,,0.6670370435799783,0.5069105638917973,71,ns,ns,Both ns
discourse_connectives_rate,23,50,6.601541020227737e-06,0.0007798583481146387,0.0005647966314687903,0.0002420918173674559,0.010644225004627554,0.010637623463607327,0.005428291587271379,0.004863494955802588,0.008465051424002088,0.9933222405521969,2.33298521862687,0.023798312056910423,-0.8787309350993125,0.3825114141707333,71,ns,Human > AI,Different
interactional_phrases_rate,23,50,-0.00048561814156230176,0.0003338519575605155,5.282955666504982e-05,3.186595398647837e-05,0.002675711809258423,0.0031613299508207247,9.352343232770771e-05,4.069387566265788e-05,-1.4545912658735167,0.1599024223660076,1.6578683533989569,0.10373343425799825,-2.346698838981935,0.021734968620260343,71,ns,ns,Both ns
quotative_hedge_rate,23,50,0.0033736204061304547,0.0013106125346630825,0.0007993268493763478,0.00019466254116258733,0.020573547072766527,0.017199926666636067,0.004428665885167942,0.0036293390357915946,2.5740791552842177,0.017309765556953294,4.106218097239,0.00015201042403576755,2.775796770911659,0.007034817367460666,71,Human > AI,Human > AI,Similar
pragmatic_stance_rate,23,50,0.001372328728326345,0.0016726200504608825,0.00029542687588239786,6.81645591860897e-05,0.005482371728684852,0.004110043000358507,0.0006499888950408693,0.00035456201915847147,0.8204665057962247,0.42075166413351606,4.334024592983584,7.25333950639656e-05,0.9534128936724092,0.3436156280046757,71,ns,Human > AI,Different
filler_composite_rate,23,50,0.004484045779618561,0.002114407715690586,0.0017123799133925857,0.00035723417115233254,0.0410138588569987,0.036529813077380145,0.010600469799807898,0.008888089886415313,2.1207100912200514,0.045456611967186804,4.793438174934248,1.5649633477343087e-05,1.8267624068462405,0.07193889902276256,71,Human > AI,Human > AI,Similar
