layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5950,0.5500,0.5725,0.5750,0.5650,0.5381,0.0200,0.5740,0.5659,0.9714,0,early
1,0.5600,0.5450,0.6044,0.5850,0.5675,0.5525,-0.0250,-0.7147,0.4748,0.9714,0,early
2,0.5825,0.5650,0.6000,0.5725,0.5700,0.5931,0.0100,0.2863,0.7746,0.9714,0,early
3,0.5800,0.5750,0.6512,0.5825,0.5825,0.6569,-0.0025,-0.0717,0.9429,1.0000,0,early
4,0.5850,0.5850,0.6694,0.5850,0.5675,0.6925,0.0000,0.0000,1.0000,1.0000,0,early
5,0.5800,0.5475,0.7131,0.6050,0.5950,0.7244,-0.0250,-0.7195,0.4718,0.9714,0,early
6,0.6300,0.6050,0.7394,0.6700,0.6600,0.7844,-0.0400,-1.1860,0.2356,0.9714,0,early
7,0.6550,0.6400,0.7919,0.7100,0.7025,0.8425,-0.0550,-1.6709,0.0947,0.9714,0,early
8,0.6575,0.6525,0.8331,0.7600,0.7500,0.9075,-0.1025,-3.1905,0.0014,0.0582,0,early
9,0.7125,0.6900,0.8694,0.7775,0.7750,0.9075,-0.0650,-2.1090,0.0349,0.7163,0,early
10,0.7275,0.7100,0.8975,0.7600,0.7550,0.9213,-0.0325,-1.0528,0.2924,0.9714,0,early
11,0.7175,0.7100,0.9094,0.7375,0.7225,0.9356,-0.0200,-0.6353,0.5253,0.9714,0,early
12,0.7250,0.7225,0.9275,0.7600,0.7450,0.9400,-0.0350,-1.1320,0.2576,0.9714,0,early
13,0.7300,0.7300,0.9337,0.7500,0.7475,0.9450,-0.0200,-0.6448,0.5190,0.9714,0,early
14,0.7425,0.7375,0.9513,0.7525,0.7500,0.9550,-0.0100,-0.3255,0.7448,0.9714,0,middle
15,0.7475,0.7375,0.9575,0.7600,0.7575,0.9669,-0.0125,-0.4103,0.6816,0.9714,0,middle
16,0.7450,0.7375,0.9694,0.7625,0.7575,0.9775,-0.0175,-0.5744,0.5657,0.9714,0,middle
17,0.7550,0.7425,0.9788,0.7675,0.7625,0.9712,-0.0125,-0.4147,0.6784,0.9714,0,middle
18,0.7425,0.7375,0.9812,0.7675,0.7675,0.9794,-0.0250,-0.8221,0.4110,0.9714,0,middle
19,0.7550,0.7475,0.9819,0.7500,0.7375,0.9806,0.0050,0.1638,0.8698,0.9907,0,middle
20,0.7575,0.7575,0.9900,0.7500,0.7475,0.9888,0.0075,0.2462,0.8055,0.9714,0,middle
21,0.7850,0.7825,0.9888,0.7775,0.7725,0.9862,0.0075,0.2566,0.7975,0.9714,0,middle
22,0.7675,0.7650,0.9856,0.7600,0.7525,0.9906,0.0075,0.2497,0.8028,0.9714,0,middle
23,0.7825,0.7800,0.9944,0.7875,0.7850,0.9938,-0.0050,-0.1721,0.8633,0.9907,0,middle
24,0.7675,0.7625,0.9938,0.7675,0.7675,0.9931,0.0000,0.0000,1.0000,1.0000,0,middle
25,0.7700,0.7625,0.9950,0.7550,0.7500,0.9950,0.0150,0.4985,0.6181,0.9714,0,middle
26,0.7700,0.7700,0.9950,0.7575,0.7575,0.9950,0.0125,0.4162,0.6773,0.9714,0,middle
27,0.7775,0.7725,0.9950,0.7650,0.7575,0.9956,0.0125,0.4209,0.6739,0.9714,0,middle
28,0.7525,0.7525,0.9950,0.7625,0.7625,0.9962,-0.0100,-0.3300,0.7414,0.9714,0,late
29,0.7525,0.7450,0.9950,0.7675,0.7650,0.9950,-0.0150,-0.4967,0.6194,0.9714,0,late
30,0.7650,0.7600,0.9975,0.7825,0.7800,0.9969,-0.0175,-0.5915,0.5542,0.9714,0,late
31,0.7650,0.7475,0.9938,0.7800,0.7650,0.9962,-0.0150,-0.5060,0.6128,0.9714,0,late
32,0.7750,0.7600,0.9950,0.7725,0.7425,0.9969,0.0025,0.0845,0.9327,1.0000,0,late
33,0.7825,0.7750,0.9956,0.7725,0.7625,0.9969,0.0100,0.3400,0.7338,0.9714,0,late
34,0.7675,0.7625,0.9975,0.7775,0.7725,0.9969,-0.0100,-0.3373,0.7359,0.9714,0,late
35,0.7825,0.7775,0.9969,0.7900,0.7650,0.9969,-0.0075,-0.2587,0.7958,0.9714,0,late
36,0.7700,0.7675,0.9969,0.7900,0.7750,0.9969,-0.0200,-0.6828,0.4947,0.9714,0,late
37,0.7875,0.7825,0.9969,0.7675,0.7675,0.9969,0.0200,0.6800,0.4965,0.9714,0,late
38,0.7650,0.7600,0.9975,0.7775,0.7700,0.9969,-0.0125,-0.4209,0.6739,0.9714,0,late
39,0.7825,0.7775,0.9981,0.7750,0.7750,0.9988,0.0075,0.2555,0.7983,0.9714,0,late
40,0.7625,0.7550,0.9931,0.7625,0.7600,0.9944,0.0000,0.0000,1.0000,1.0000,0,late
